cell.id,area,gfpMeanBgAFsub,mcherryMeanBgAFsub,degron,red,treatment,experiment,exp.field,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,volume,area.puncta,pos.x.puncta,pos.y.puncta,rfp.mean.bg.sub,dapi.mean.bg.sub,rfp.mean.bg.sub.puncta,dapi.mean.bg.sub.puncta,no.bud.scars
1000001998_20min_s6_mODC.3_tef2-mCherry_none,4587.9,72.77404444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,26.7763,32.801,2194,1133.57,152.72,0.276966,4259.26,332.619,1153.34,165.814,460.568,1167.58425,396.6020000000001,1722.6542499999998,3
1000001999_20min_s6_mODC.3_tef2-mCherry_none,695.369,62.194044444444415,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,10.3969,12.134,312,1034.21,225.84,0.481246,575.636,NA,NA,NA,452.62,831.44425,NA,NA,0
1000002000_20min_s6_mODC.3_tef2-mCherry_none,3073.45,62.57204444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.1194,26.5794,1456,339.071,948.459,0.313001,2805.63,NA,NA,NA,532.077,503.09725,NA,NA,0
1000002001_20min_s6_mODC.3_tef2-mCherry_none,2125.93,140.76004444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,15.0489,26.8923,976,253.168,1028.94,0.34789,1891.3,188.291,231.557,1034.41,604.9300000000001,1824.19425,428.2850000000001,2997.2742500000004,1
1000002002_20min_s6_mODC.3_tef2-mCherry_none,1136.96,124.1700444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,13.8148,15.0948,522,867.701,402.772,0.420093,981.549,19.9714,871.667,395.333,504.3970000000001,764.99425,497.918,871.18425,2
1000002003_20min_s6_mODC.3_tef2-mCherry_none,2582.89,233.67504444444447,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,20.6264,23.6765,1217,918.443,377.203,0.329856,2338.41,NA,NA,NA,433.898,351.36125000000004,NA,NA,0
1000002004_20min_s6_mODC.3_tef2-mCherry_none,2565.04,22.662044444444433,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.484,22.571,1209,695.518,601.742,0.330713,2323.23,NA,NA,NA,491.572,602.76425,NA,NA,0
1000002005_20min_s6_mODC.3_tef2-mCherry_none,2673.79,44.23304444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,19.7338,25.82,1261,813.061,485.15,0.326141,2421.43,NA,NA,NA,527.594,287.58425,NA,NA,0
1000002006_20min_s6_mODC.3_tef2-mCherry_none,2417.19,196.12304444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.0312,21.689,1136,397.053,899.775,0.336165,2178.06,NA,NA,NA,500.03100000000006,503.14425000000006,NA,NA,0
1000002007_20min_s6_mODC.3_tef2-mCherry_none,3719.5,244.03604444444449,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,24.0388,29.4384,1771,452.136,855.476,0.295365,3424.03,547.972,473.905,862.136,444.84800000000007,877.66425,390.76700000000005,2115.13425,1
1000002008_20min_s6_mODC.3_tef2-mCherry_none,3073.89,68.72204444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,23.4624,24.8359,1455,671.004,635.193,0.313053,2806.95,NA,NA,NA,552.9870000000001,542.64425,NA,NA,0
1000002010_20min_s6_mODC.3_tef2-mCherry_none,1732.52,46.32804444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,15.3027,21.4223,802,424.84,880.308,0.369679,1524.15,NA,NA,NA,356.6740000000001,313.61225,NA,NA,0
1000002011_20min_s6_mODC.3_tef2-mCherry_none,2974.2,91.70804444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.6694,24.9009,1407,963.432,350.559,0.316256,2712.6,328.813,978.214,346.936,409.4770000000001,417.0532500000001,342.874,1393.36425,1
1000002012_20min_s6_mODC.3_tef2-mCherry_none,3001.75,45.02004444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,22.04,25.8847,1422,602.926,711.575,0.315405,2739.29,337.985,594.471,727.891,442.8190000000001,1164.48425,452.491,1907.27425,1
1000002013_20min_s6_mODC.3_tef2-mCherry_none,4190.23,122.77804444444442,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,27.6696,28.9132,2000,769.68,557.739,0.284827,3877.06,500.057,772.952,580.101,722.325,908.07425,772.047,3146.26425,3
1000002014_20min_s6_mODC.3_tef2-mCherry_none,1328.63,35.72104444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.4083,17.0685,613,1105.92,200.066,0.401319,1157.75,NA,NA,NA,445.26,413.83825,NA,NA,0
